flight,flight_id,frame_id,mono_ns,t_rel_s,feature_ts_ns,topic,phase,commit,source,feature_mode,cert_status,range_z_m,range_norm_m,x_m,y_down_m,gate_age_s,center_x_px,y_top_px,span_px,span_x_range,e_meas,e_reject,level_pitch_rad,level_roll_rad,image_w,image_h,det_confidence,det_cert_status,cohort,setpoint_speed_xy_mps
F2,20260720T071112-cd18c5fb,201,208146838939200,3.3668945,1784531476730073500,feature,takeoff,False,detector,FULL_QUAD,certified,5.963138259110632,6.051094657731543,0.04144318171843909,-1.0271373434197044,0.0,317.5,250.0,87.5728268357257,522.2088741625862,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,202,208146874044600,3.4019999,1784531476764674000,feature,takeoff,False,detector,FULL_QUAD,certified,6.023860831940757,6.1264742352978026,0.06070580999306711,-1.1149448586413997,0.0,319.5,244.5,81.05553651663777,488.267271634518,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,203,208146903686700,3.431642,1784531476792484600,feature,takeoff,False,detector,FULL_QUAD,certified,5.981483807003441,6.1053827652312584,0.07676583121943631,-1.2213341818256365,0.0,321.0,239.5,82.00609733428362,490.51814328056554,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,204,208146935487000,3.4634423,1784531476827235700,feature,takeoff,False,detector,FULL_QUAD,certified,6.002591708131821,6.166945516704495,0.11180807602508025,-1.4098257855509502,0.0,322.5,230.5,81.00617260431454,486.24697998215356,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,205,208146971628700,3.499584,1784531476861993300,feature,takeoff,False,detector,FULL_QUAD,certified,6.017941818265136,6.220518141789574,0.15454232595767334,-1.5669521032234877,0.006504984,324.0,221.5,82.00609733428362,493.5079225007065,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,206,208147006857400,3.5348127,1784531476896647900,feature,takeoff,False,detector,FULL_QUAD,certified,5.89382659932142,6.121958830929859,0.13943452206902332,-1.649771486838945,0.005772008,325.5,216.0,81.09870529176159,477.98170641911327,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,207,208147041160800,3.5691161,1784531476931532600,feature,takeoff,False,detector,FULL_QUAD,certified,5.902587481964439,6.170135401897178,0.16804220530152775,-1.7893556697143687,0.004738432,326.0,207.0,82.21921916437786,485.30613381654746,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,208,208147068185900,3.5961412,1784531476959196600,feature,takeoff,False,detector,FULL_QUAD,certified,5.710399816564292,5.9970393590602855,0.13469294108603536,-1.8269298893833597,0.0,329.0,205.0,84.38009243891595,481.8440643848637,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,209,208147103498200,3.6314535,1784531476993815000,feature,takeoff,False,detector,FULL_QUAD,certified,5.678468286715677,6.012020516486082,0.17612129794927828,-1.9668171993915875,0.0,331.5,197.0,81.39410298049853,462.19383250043086,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,210,208147137566100,3.6655214,1784531477028456300,feature,takeoff,False,detector,FULL_QUAD,certified,5.6183306152321055,5.976689109240229,0.20905707772358745,-2.0276757494012854,0.0,335.0,193.5,84.71717653463199,475.9691065605458,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,211,208147172803700,3.700759,1784531477063268000,feature,takeoff,False,detector,FULL_QUAD,certified,5.476492197880671,5.790664273695689,0.2110777643525582,-1.869564685857028,0.005551184,337.0,198.0,82.60750571225353,452.3993605195394,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,212,208147207136700,3.735092,1784531477097929000,feature,takeoff,False,detector,FULL_QUAD,certified,5.571339760135917,5.846866829773382,0.20696171966438065,-1.7615878771229274,0.005207016,338.0,207.0,85.15867542417507,474.4479143112159,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,213,208147235290200,3.7632455,1784531477126088100,feature,takeoff,False,detector,FULL_QUAD,certified,5.694635645412727,5.94738714954408,0.2427942864519907,-1.6981135730636794,0.0,341.0,213.5,85.32877591996736,485.91628893328124,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,214,208147270415600,3.7983709,1784531477160658500,feature,takeoff,False,detector,FULL_QUAD,certified,5.893666033369929,6.093752474545721,0.2611124250676874,-1.5265451875424283,0.0,343.5,222.0,82.97590011563598,489.0322440998197,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,215,208147303765200,3.8317205,1784531477195310100,feature,takeoff,False,detector,FULL_QUAD,certified,5.7948892380317965,5.960037865681538,0.23412606203188335,-1.3734973849186782,0.0,341.5,230.0,86.14522621712709,499.20204431344433,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,216,208147339986900,3.8679422,1784531477230075600,feature,takeoff,False,detector,FULL_QUAD,certified,5.760554613697366,5.950079515476901,0.2340045209182917,-1.471291496372364,0.0,342.5,223.0,82.56512580987206,475.6209164145619,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,217,208147373835700,3.901791,1784531477264761200,feature,takeoff,False,detector,FULL_QUAD,certified,5.769555481045348,5.981326676510858,0.2710150253985504,-1.5540428624359865,0.0,345.5,218.0,82.97590011563598,478.7340593068389,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,218,208147401681600,3.9296369,1784531477292577700,feature,takeoff,False,detector,FULL_QUAD,certified,5.842709647744963,6.059476893258153,0.2795999118400233,-1.5817168145330136,0.0,347.0,217.5,84.17244204607586,491.7951392168612,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,219,208147436984000,3.9649393,1784531477327231300,feature,takeoff,False,detector,FULL_QUAD,certified,5.752434218314488,5.985648533197456,0.3108212532702162,-1.625078175180806,0.0,350.5,212.0,78.74642849044012,452.9836498184627,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,220,208147470743300,3.9986986,1784531477362007600,feature,takeoff,False,detector,FULL_QUAD,certified,5.736398138174231,6.016489222576696,0.30563328305560955,-1.788425917398146,0.0,349.0,206.5,84.64632301523794,485.56500974790544,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,221,208147505183900,4.0331392,1784531477396643700,feature,takeoff,False,detector,FULL_QUAD,certified,5.644598036351825,5.975324489424887,0.28319282467403095,-1.939798336422385,0.0,350.0,195.0,84.8999411071645,479.22604085988627,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,222,208147541132100,4.0690874,1784531477431263100,feature,takeoff,False,detector,FULL_QUAD,certified,5.6077625136872005,5.92540490065382,0.275380948194665,-1.8940929650226603,0.0,348.0,195.5,86.58521813797087,485.5493405135421,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,223,208147568726800,4.0966821,1784531477459023000,feature,takeoff,False,detector,FULL_QUAD,certified,5.54428000195718,5.827274601364692,0.2950749389343868,-1.7694686547154759,0.0,346.5,202.0,84.92938243034621,470.872276587142,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,224,208147602952000,4.1309073,1784531477493866200,feature,takeoff,False,detector,FULL_QUAD,certified,5.3316168103241015,5.565996282304418,0.23437644127762253,-1.5808998976121453,0.0,345.0,212.0,87.13208364316786,464.55488187047945,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,225,208147637131100,4.1650864,1784531477528433100,feature,takeoff,False,detector,FULL_QUAD,certified,5.586674544820397,5.767193889647677,0.24757813776735338,-1.4100701956799764,0.0,344.5,222.0,89.80534505250787,501.71323519365814,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,226,208147671759400,4.1997147,1784531477563180300,feature,takeoff,False,detector,FULL_QUAD,certified,5.722050513804962,5.855937505792684,0.25216707188406495,-1.219243108273008,0.0,341.5,232.5,89.1403387922662,510.0655213870353,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,227,208147706844800,4.2348001,1784531477597928600,feature,takeoff,False,detector,FULL_QUAD,certified,5.692363074736081,5.798972723176255,0.2883610767666959,-1.0686136621480105,0.008717328,344.0,240.0,92.0869154657707,524.192157263696,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,228,208147734653500,4.2626088,1784531477625750800,feature,takeoff,False,detector,FULL_QUAD,certified,5.705930429548852,5.8169642306232445,0.31682325655306276,-1.0858424460324967,0.0,342.0,238.5,90.0499861188218,513.8189559758371,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,229,208147770195100,4.2981504,1784531477660588800,feature,takeoff,False,detector,FULL_QUAD,certified,5.665070485758133,5.808817065487219,0.34517328061997865,-1.237007476951409,0.0,342.0,230.5,86.00581375697809,487.2289971182674,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,230,208147804306100,4.3322614,1784531477695051200,feature,takeoff,False,detector,FULL_QUAD,certified,5.52917173775109,5.680058510905338,0.35384774973840866,-1.251445704682317,0.0,341.0,229.5,92.04890004774636,508.95417663507413,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,231,208147840174500,4.3681298,1784531477729722400,feature,takeoff,False,detector,FULL_QUAD,certified,5.624808895012193,5.750043377716902,0.3859570262680154,-1.1294073286870672,0.007943272,340.5,233.0,89.35882720806042,502.6263261277558,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,232,208147873597300,4.4015526,1784531477764529500,feature,takeoff,False,detector,FULL_QUAD,certified,5.605203756287011,5.718259496008269,0.3968060314915929,-1.0595883576024292,0.0,339.5,238.5,93.43446901438462,523.719236686111,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,233,208147901264800,4.4292201,1784531477792350600,feature,takeoff,False,detector,FULL_QUAD,certified,5.599922632161688,5.721022818382188,0.41959280191893944,-1.0931196104867964,0.0,339.5,237.5,87.96590248499699,492.6022481842627,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,234,208147938502600,4.4664579,1784531477826989500,feature,takeoff,False,detector,FULL_QUAD,certified,5.489730757892353,5.606918238095477,0.4318537746528509,-1.0554101818044117,0.0,338.5,241.5,92.57429448826494,508.20795184241257,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,235,208147970841500,4.4987968,1784531477861706100,feature,takeoff,False,detector,FULL_QUAD,certified,5.487942769995497,5.571549328524865,0.46266616389060844,-0.842962688516385,0.0,337.5,252.0,97.98469268207153,537.7343857748051,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,236,208148004994500,4.5329498,1784531477896426000,feature,takeoff,False,detector,FULL_QUAD,certified,5.406958937999661,5.475612586028347,0.47411152172313964,-0.722735428789109,0.0,339.5,256.5,101.20276676059801,547.1992042865105,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.0
F2,20260720T071112-cd18c5fb,237,208148040320800,4.5682761,1784531477931234100,feature,align,False,detector,FULL_QUAD,certified,5.325197681955139,5.392506979207052,0.4710137732405414,-0.7067865266925295,0.0,338.5,258.5,104.04806581575652,554.0765188939823,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.500755946539113
F2,20260720T071112-cd18c5fb,238,208148074890600,4.6028459,1784531477965922600,feature,align,False,detector,FULL_QUAD,certified,4.937610117832034,5.052505834889981,0.3947065056250129,-0.9960061798489612,0.0,327.0,232.5,115.20850663036997,568.8546879984337,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.4861288538653964
F2,20260720T071112-cd18c5fb,239,208148102185100,4.6301404,1784531477993655400,feature,align,False,detector,FULL_QUAD,certified,5.038957012902307,5.186535782012688,0.4280929998205364,-1.1514347674641723,0.0,331.0,226.5,105.30432089900205,530.6239462829413,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.47025347327886624
F2,20260720T071112-cd18c5fb,240,208148137746000,4.6657013,1784531478028323300,feature,align,False,detector,FULL_QUAD,certified,5.059770826131367,5.209102819106949,0.4543179669730194,-1.1519837463885372,0.0,331.0,225.5,106.04244433244644,536.550466164972,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.4899822186484207
F2,20260720T071112-cd18c5fb,242,208148207660200,4.7356155,1784531478097818000,feature,align,False,detector,FULL_QUAD,certified,5.108256458822916,5.235114490526192,0.5080918665873224,-1.0266364180755985,0.0,338.0,232.0,90.79647570252934,463.8116834458034,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.5030479828602177
F2,20260720T071112-cd18c5fb,243,208148243475600,4.7714309,1784531478132755600,feature,align,False,detector,FULL_QUAD,certified,5.097373683449151,5.214008043689603,0.5246464473727281,-0.9630199978188891,0.0109714,339.5,236.5,87.96590248499699,448.3950763678779,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.5092868005733107
F2,20260720T071112-cd18c5fb,244,208148271207000,4.7991623,1784531478160845200,feature,align,False,detector,FULL_QUAD,certified,5.1561176975496075,5.262634582853961,0.494222195741082,-0.9303319100746148,0.00699428,336.5,240.5,93.90420650854784,484.1811410530766,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.5154245361069364
F2,20260720T071112-cd18c5fb,245,208148304610300,4.8325656,1784531478195088200,feature,align,False,detector,FULL_QUAD,certified,5.175080016822477,5.27224439582531,0.4584910788644656,-0.8971586924272379,0.006256824,335.5,242.0,89.80534505250787,464.74984658508083,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.49958253634978667
F2,20260720T071112-cd18c5fb,246,208148340315600,4.8682709,1784531478229801600,feature,align,False,detector,FULL_QUAD,certified,5.109643179152723,5.20234082961267,0.42682115085503997,-0.8796137756855995,0.005384736,333.0,242.5,89.26925562588724,456.1340431168556,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.48286947359513677
F2,20260720T071112-cd18c5fb,247,208148374598600,4.9025539,1784531478264545000,feature,align,False,detector,FULL_QUAD,certified,5.16269749192955,5.256369014952962,0.4013719261514215,-0.9027017254217498,0.004716544,333.5,243.5,93.90420650854784,484.7990114233145,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.4696993234858137
F2,20260720T071112-cd18c5fb,248,208148408562200,4.9365175,1784531478300117800,feature,align,False,detector,FULL_QUAD,certified,5.184240024931491,5.279355411823934,0.38285459729820126,-0.9212335673327519,0.003481744,332.5,242.0,96.0260381354974,497.8220303376433,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.46547486430189305
F2,20260720T071112-cd18c5fb,249,208148439207000,4.9671623,1784531478326973500,feature,align,False,detector,FULL_QUAD,certified,5.140933034560737,5.236265854782491,0.35119942092824663,-0.9305625195884554,0.0,331.0,240.0,100.9752444909147,519.1069700761905,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.459615459943791
F2,20260720T071112-cd18c5fb,250,208148471923600,4.9998789,1784531478361746900,feature,align,False,detector,FULL_QUAD,certified,5.151599119043424,5.2516505432189655,0.32854896261000477,-0.9658755219648958,0.004401336,332.0,236.5,98.85848471426213,509.2792827639606,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.4462746086230067
F2,20260720T071112-cd18c5fb,251,208148506015500,5.0339708,1784531478396396500,feature,align,False,detector,FULL_QUAD,certified,5.1356349037430356,5.22683204672943,0.30499584794538237,-0.9230411220038364,0.0,331.0,238.0,100.9752444909147,518.5719900215282,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.4439330284191262
F2,20260720T071112-cd18c5fb,252,208148540596800,5.0685521,1784531478431063500,feature,align,False,detector,FULL_QUAD,certified,5.12406832303512,5.213846178220605,0.2907079795618247,-0.9184795379499444,0.0,331.5,237.0,99.72462083156798,510.9957706297257,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.4360411377178444
F2,20260720T071112-cd18c5fb,253,208148574353800,5.1023091,1784531478465889500,feature,align,False,detector,FULL_QUAD,certified,4.99584034955638,5.105194135058773,0.27715428824524135,-1.0137908358681074,0.0,332.5,231.5,101.40019723846694,506.57919681690856,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,0.43199921284204057
F2,20260720T071112-cd18c5fb,255,208148636850400,5.1648057,1784531478528263600,feature,align,False,tracker,SIDE_PAIR,none,3.6401409743309965,3.7088258242641445,0.09935236935436303,-0.7034854571552063,0.0,313.09945489266863,220.8558485931067,155.63460350533578,566.5318972435313,,not_certified,-0.31070304002823274,0.00025602409079155774,640,360,0.5,none,primary_f2_f4,0.4450710217828281
F2,20260720T071112-cd18c5fb,257,208148706621300,5.2345766,1784531478597809000,feature,commit,True,detector,FULL_QUAD,certified,3.8041822371409286,3.839306429614146,0.28818507394431564,-0.4306050745795632,0.0,353.0,250.5,145.82523787054146,554.7457796339645,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.7788599533037248
F2,20260720T071112-cd18c5fb,261,208148838528000,5.3664833,1784531478729590600,feature,commit,True,tracker,SIDE_PAIR,probation,2.964745855157551,3.3640301993928916,0.3194667342611048,-1.5572161707528092,0.0,351.50206050912334,131.01617332500064,150.52409237979776,446.26567898435775,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,probation,primary_f2_f4,1.5212565831474059
F2,20260720T071112-cd18c5fb,271,208149172092200,5.7000475,1784531479062956400,feature,commit,True,tracker,SIDE_PAIR,none,3.3181669177203057,3.3776162560314447,0.28484121422417696,-0.5629612436337834,0.008064912,377.12654557532505,219.2034432065779,183.31274159036246,608.2622747417519,,not_certified,-0.31070304002823274,0.00025602409079155774,640,360,0.5,none,primary_f2_f4,1.7513400600110276
F2,20260720T071112-cd18c5fb,285,208149636841400,6.1647967,1784531479528186500,feature,commit,True,tracker,SIDE_PAIR,probation,2.772713831703781,3.2726213026419195,0.18149730461986674,-1.7289207403464029,0.0,339.37912102775215,100.12682765648653,150.01058899121375,415.9364349979693,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,probation,primary_f2_f4,1.480409737376281
F2,20260720T071112-cd18c5fb,287,208149706764000,6.2347193,1784531479597761900,feature,commit,True,tracker,SIDE_PAIR,none,2.460693691933111,2.9865716937455233,-0.02065168120570164,-1.6923860506474215,0.0,285.6616431867739,80.86174785285631,187.65672375489817,461.7657163925123,,not_certified,-0.31070304002823274,0.00025602409079155774,640,360,0.5,none,primary_f2_f4,1.4576449273961918
F2,20260720T071112-cd18c5fb,293,208149907642600,6.4355979,1784531479798964900,feature,commit,True,tracker,SIDE_PAIR,none,2.20523791304153,2.747971705364627,0.045657818509048584,-1.6389599153053769,0.0079314,329.15229877402504,56.75649027910756,171.01780253842765,377.1349419627906,,not_certified,-0.31070304002823274,0.00025602409079155774,640,360,0.5,none,primary_f2_f4,1.4117401661357678
F2,20260720T071112-cd18c5fb,298,208150074148800,6.6021041,1784531479965709900,feature,commit,True,detector,FULL_QUAD,certified,2.1837498917296645,2.5972953273331214,0.0818673191405653,-1.4037368591776311,0.0,320.5,61.0,177.55280904564702,387.73092752972946,-0.43836628490830676,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.4666174922855229
F2,20260720T071112-cd18c5fb,298,208150074148800,6.6021041,1784531479965709900,feature_side,commit,True,tracker_parallel,SIDE_PAIR,certified,2.1837498917296645,2.5972953273331214,0.0818673191405653,-1.4037368591776311,0.0,323.0568689973072,62.58471219217461,187.79872875043696,410.10545357573534,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,certified,primary_f2_f4,1.4666174922855229
F2,20260720T071112-cd18c5fb,299,208150102418200,6.6303735,1784531479993161000,feature,commit,True,detector,FULL_QUAD,certified,2.1917528421853127,2.585307363582084,0.07066426751786707,-1.3693210742044803,0.0,315.5,67.0,183.273020382161,401.6891633184881,-0.41010841618228855,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.462331340376479
F2,20260720T071112-cd18c5fb,299,208150102418200,6.6303735,1784531479993161000,feature_side,commit,True,tracker_parallel,SIDE_PAIR,certified,2.1917528421853127,2.585307363582084,0.07066426751786707,-1.3693210742044803,0.0,320.9213865873805,66.58906528685043,191.45795727697802,419.62852202081075,-0.4233423527831236,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,certified,primary_f2_f4,1.462331340376479
F2,20260720T071112-cd18c5fb,300,208150138151700,6.666107,1784531480027996900,feature,commit,True,detector,FULL_QUAD,certified,2.1316069594271383,2.514582938653053,0.06634985106156188,-1.3322825613025646,0.0,310.5,68.5,185.21878954360974,394.813660807829,-0.33625258163778976,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.4694309838304604
